material_id,formula
mp-1183256,AgPb3
mp-13155,Hf2Ag
mp-1103785,Pr3Al11
mp-1490,AlAu4
mp-12773,Zr2Al
mp-2289,CeAl4
mp-1842,NbAl3
mp-395,ZrAl3
mp-11209,AlAs
mp-976358,Nd3Al
mp-1070275,Al3Tc2
mp-1103934,PrAl4
mp-1183200,Al3Sn
mp-7189,AlPd
mp-1071777,SrAl2
mp-30337,Al5W
mp-1487,AlNi
mp-983594,Al3Ga
mp-571624,Dy3Al2
mp-979266,Sm3Al
mp-980938,Tb3Al2
mp-1065540,AlC3
mp-1106237,DyAl3
mp-1192984,Al5Re24
mp-11809,TiAl2
mp-1220481,Nb4Al
mp-1009839,TbAl
mp-1079182,AlPt3
mp-570001,Al6Fe
mp-16523,Al3Pd5
mp-1186381,Pa3Al
mp-1228806,AlSb
mp-756,TbAl2
mp-1080667,AlCo3
mp-1018101,AlCo3
mp-1183306,AlRh3
mp-567589,DyAl3
mp-1008555,AlCu3
mp-1080448,AlPt3
mp-803,DyAl2
mp-998,Al2Cu
mp-12802,AlCu3
mp-16488,Al9Co2
mp-21416,PuAl2
mp-632442,Al4C3
mp-1183203,AlGe3
mp-1194073,Ta17Al12
mp-1109,Sr5Al9
mp-2378,Th3Al2
mp-1182870,AlPt3
mp-1228006,AlV2
mp-2554,Al3V
mp-2775,SrAl4
mp-1183195,Al3Ge
mp-1102728,Dy2Al
mp-1102344,Sm2Al
mp-1953,TiAl
mp-1183216,AlCu3
mp-1648,Al12Re
mp-1184060,Dy3Al
mp-1184882,K3Al
mp-1259,YbAl3
mp-1749,CaAl4
mp-259,AlMo3
mp-2614,HfAl3
mp-862980,PmAl3
mp-975056,Rb3Al
mp-11225,TbAl
mp-1645,Al9Rh2
mp-2404,CaAl2
mp-1501,Al3Pt5
mp-1182873,AlP2
mp-1187635,Tm3Al
mp-568417,PrAl
mp-862848,Pa3Al
mp-1183215,AlCd3
mp-1080098,Nd3Al
mp-391,HoAl2
mp-2631,Ba4Al5
mp-569981,DyAl3
mp-16520,NpAl4
mp-10886,Al3Cu2
mp-12793,NdAl
mp-196,Al5Co2
mp-10902,PrAl
mp-16719,Al12Tc
mp-999204,ScAl3
mp-1877,HoAl3
mp-1057,Al3Ni2
mp-178,ThAl
mp-16724,Zr5Al3
mp-813,ScAl2
mp-1008554,Al3V
mp-1009834,Al2Ru
mp-1025223,Hf4Al3
mp-969,YbAl2
mp-1103088,DyAl3
mp-12003,Al9Ir2
mp-11220,Sc2Al
mp-1200220,Al3Ir
mp-16507,LuAl
mp-846,Hf2Al3
mp-1482,Zr2Al3
mp-1186489,Pm3Al
mp-16506,Li3Al2
mp-530274,Al23B50
mp-1102875,Er2Al
mp-2336,PrAl4
mp-1186496,Pm3Al
mp-569775,ZrAl3
mp-669,ThAl2
mp-862844,PaAl3
mp-1182887,AlO3
mp-1193055,Ca13Al14
mp-858,TmAl2
mp-1885,AlIr
mp-1007730,HfAl3
mp-973266,Lu3Al
mp-1079618,TbAl4
mp-1186855,TbAl3
mp-1104100,Nd3Al11
mp-1103391,Tb2Al
mp-31181,Er3Al2
mp-173,MnAl6
mp-672232,AlNi3
mp-867347,Al3Tc
mp-1103225,Pr2Al
mp-1471,Zr3Al
mp-1502,Al2Pt
mp-11232,YAl3
mp-31178,DyAl3
mp-567705,TiAl2
mp-2093,Pr3Al
mp-999206,ScAl
mp-1182885,AlCu4
mp-11227,Al12W
mp-22318,SrAl2
mp-1069983,Al3Ru2
mp-2647,Al2Au
mp-998981,TiAl3
mp-1018179,AlAu2
mp-11843,DyAl
mp-975530,RbAl
mp-1070580,Al3Ru2
mp-261,Ba3Al5
mp-11222,Sm3Al
mp-16513,NdAl3
mp-869,TaAl3
mp-988939,AlAs
mp-1183180,Al3P
mp-16522,Al2Pd
mp-982635,Tm3Al2
mp-569916,Al3Pt2
mp-983585,Al3Zn
mp-2824,AlPd2
mp-10909,AlRe2
mp-985806,Al2Cu
mp-30336,Al4W
mp-2361,Hf5Al3
mp-570400,Ba7Al10
mp-1183278,AlPb3
mp-284,AlCo
mp-249,HfAl
mp-1183412,BeAl3
mp-571053,Al5Mo
mp-975052,Rb3Al
mp-1188739,ErAl
mp-16514,Al3Ni5
mp-973865,PaAl3
mp-2121,ScAl3
mp-1183223,AlAu3
mp-2451,YAl3
mp-2322,YAl2
mp-867232,TbAl3
mp-976150,NaAl3
mp-1102672,Sr2Al
mp-1193531,Ta2Al
mp-1021666,AlSi
mp-1217092,Ti3Al5
mp-2134,ErAl3
mp-988940,AlAs
mp-21109,LaAl4
mp-978951,SmAl
mp-1104047,Al4Tc
mp-12772,Hf2Al
mp-1399,AlAu
mp-16508,Lu3Al2
mp-979040,TmAl3
mp-12684,LaAl
mp-16502,Ho2Al
mp-12794,Al2Cu
mp-1018166,AlTc2
mp-1952,Ba7Al13
mp-10903,AlPt
mp-1206713,Al2Zn
mp-13470,Zr3Al2
mp-1228815,AlRe
mp-2694,LaAl2
mp-16521,Al3Os2
mp-867870,SmAl3
mp-1183131,Al3Sn
mp-985825,Al3Cu
mp-875,AlOs
mp-30338,Y3Al
mp-864995,DyAl3
mp-973149,Mn3Al
mp-1183189,Al3Au
mp-1228854,AlNi
mp-567929,Al13Os4
mp-1183170,AlBi3
mp-1183161,Al3Cu
mp-1188420,HoAl
mp-570651,Al17Mo4
mp-1183208,AlGa3
mp-10901,Al3Pd2
mp-1228956,AlAu4
mp-11228,YAl
mp-1189,PrAl2
mp-865527,YAl3
mp-1190357,SmAl5
mp-369,TbAl3
mp-669546,AlPd
mp-1186098,NaAl3
mp-1079266,Pr3Al
mp-1065309,ZrAl3
mp-10904,AlPt
mp-1188814,Al3Ru
mp-12657,HfAl2
mp-1184638,HoAl3
mp-622209,Al3Ni
mp-1217072,Ti3Al
mp-400,NdAl2
mp-864637,NdAl
mp-1217027,TiAl3
mp-1079984,BaAl
mp-1183127,Al3Pd
mp-2044,Zr5Al3
mp-743752,Al4C3
mp-433,DyAl
mp-11229,YAl
mp-1061123,TiAl
mp-1206714,Al2Sn
mp-1217008,TiAl
mp-1791,Al5Rh2
mp-2358,SmAl2
mp-188,AlPt3
mp-8022,Al2O
mp-1183129,Al3As
mp-550,Al12Mo
mp-607111,AlPt3
mp-944,AlB2
mp-1190736,Ca8Al3
mp-2772,ZrAl2
mp-16720,ThAl2
mp-10908,AlRe
mp-1184171,ErAl3
mp-8023,AlO
mp-10905,Al3Pt2
mp-1025044,AlNi2
mp-2733,Al8Mo3
mp-829,AlPd
mp-16529,Al6Ru
mp-1306,ThAl3
mp-1183138,Al3H
mp-1217081,Ti3Al5
mp-30334,Th2Al7
mp-862656,ErAl3
mp-16721,TmAl
mp-1183279,AlPb3
mp-1903,BaAl4
mp-1104765,LaAl4
mp-570409,PrAl3
mp-1183175,Al3Pt
mp-1823,Ti3Al
mp-551,BaAl2
mp-364,AlRh
mp-1208,ErAl2
mp-12752,Zr4Al3
mp-574122,UAl4
mp-1078399,CsAl
mp-1183143,AlPd3
mp-1188018,Zr3Al
mp-898,HoAl3
mp-331,ScAl
mp-569558,AlAu2
mp-959,LaAl3
mp-1184670,Hf3Al
mp-12524,Al2W
mp-11221,SmAl
mp-1102065,HoAl3
mp-11231,YAl3
mp-1189958,TbAl3
mp-16526,AlPt2
mp-1084828,La3Al
mp-10871,AlAu
mp-1185427,Lu3Al
mp-25470,AlCl3
mp-568683,La16Al13
mp-973539,LuAl3
mp-1063660,CsAl
mp-16723,Y3Al2
mp-11226,Tb3Al
mp-1184840,K3Al
mp-12777,AlCu3
mp-1104395,Sm3Al11
mp-1106135,Ho3Al2
mp-1183140,Al3Cd
mp-768,TmAl3
mp-1101848,Nd2Al
mp-10889,La3Al
mp-2500,AlCu
mp-983584,Al3Tl
mp-1638,SrAl2
mp-568171,Nd2Al
mp-1022721,AlCu
mp-1228120,Al4Si
mp-568607,Al5Mo
mp-1079897,SmAl4
mp-11233,ZrAl
mp-1180309,Mn2Al3
mp-7760,AlSn
mp-11230,Y2Al
mp-12553,PrAl3
mp-30180,Al4Mo
mp-1234,LuAl2
mp-2805,LuAl3
mp-2557,Zr2Al
mp-16505,La3Al11
mp-16528,Al6Re
mp-1651,Th2Al
mp-1183188,AlTc3
mp-2294,Al3Ir
mp-1023918,AlSb
mp-1184122,Dy3Al
mp-16718,Al6Tc
mp-974270,Na3Al
mp-1059094,GaAs
mp-1183275,AsPb3
mp-1098,Yb4As3
mp-1753,ThAs
mp-1187593,Tl3As
mp-976930,Ni3As
mp-1822,TiAs
mp-973599,Hg3As
mp-568908,TiAs
mp-933,YAs
mp-1007770,TlAs
mp-1207458,Zn2As
mp-1228819,As2S
mp-20465,As2Pd
mp-672228,TiAs2
mp-10622,PrAs
mp-1184008,Cu3As
mp-1228795,AsP
mp-2623,V4As3
mp-1743,Mo5As4
mp-1077179,As2W
mp-1186217,NbAs3
mp-1228793,AsPd4
mp-15697,Sr2As
mp-1186907,ReAs3
mp-1936,TaAs
mp-10106,Ca2As
mp-29815,LaAs2
mp-1096854,Ca3As2
mp-1001917,HoAs
mp-2052,ScAs
mp-8886,Tc2As3
mp-19868,ThAs
mp-600,YbAs
mp-2622,Pa3As4
mp-1183729,CeAs3
mp-15650,AsRu
mp-972472,SnAs3
mp-1185145,LaAs3
mp-590,NiAs
mp-7898,Rb3As
mp-972722,SmAs3
mp-583,CoAs
mp-973071,Hg3As
mp-15325,BaAs3
mp-1172435,SiAs3
mp-972202,TcAs3
mp-1184017,Cu3As
mp-9954,HfAs
mp-1184714,HoAs3
mp-7591,GeAs
mp-1018672,CoAs2
mp-1009230,NdAs
mp-1002226,ErAs
mp-1682,ZrAs
mp-1009583,PrAs
mp-1080831,AsPd2
mp-568959,La4As3
mp-1183587,Cd3As
mp-19940,VAs
mp-2602,NdAs
mp-1180998,KAs
mp-973307,Mg5As
mp-1183979,GaAs3
mp-19814,NiAs2
mp-977224,PrAs3
mp-12982,ScAs
mp-10048,GaAs
mp-27606,ZrAs2
mp-973736,GeAs3
mp-633403,Cu3As4
mp-1102364,AsRh2
mp-11696,As3W2
mp-2512,AsPd5
mp-1224319,GeAs3
mp-21268,SiAs2
mp-15679,CoAs
mp-15698,Sr5As3
mp-978567,SiAs3
mp-980061,TbAs3
mp-10047,Ca5As3
mp-10051,TeAs
mp-10045,Ba5As3
mp-1186534,PmAs3
mp-1187559,TiAs3
mp-979900,TmAs3
mp-980750,YAs3
mp-1219457,SbAs
mp-1183505,Bi3As
mp-1186299,NdAs3
mp-12561,TaAs2
mp-972324,Tc3As
mp-1009223,NaAs
mp-1187399,TcAs3
mp-1183320,AsPt3
mp-1213747,Cr3As
mp-1079945,SrAs3
mp-12070,CuAs
mp-2640,TbAs
mp-1010161,DyAs
mp-1001602,B12W
mp-1001788,ZrB6
mp-1002136,LaAu
mp-1002187,TcB
mp-10052,TiAs
mp-10054,ZrAs
mp-1005762,Sm3Au
mp-1007652,InAs
mp-1007666,HoAu
mp-1007918,DyAu
mp-1008558,AuN
mp-1008610,AuN
mp-1008661,AuC
mp-1009016,LuAs
mp-1009814,SmAs
mp-10141,SmB2
mp-1017507,TmAu
mp-1017579,In2Au3
mp-1018103,ZrAu2
mp-1018113,YAu2
mp-1018148,ScAu2
mp-1018152,LuAu2
mp-1018153,HfAu2
mp-1018175,ThAu
mp-1018648,AuN2
mp-1025,ThAu2
mp-1025149,Ti2B
mp-1025399,LaAu
mp-1025478,TbAu3
mp-1025526,LuAu3
mp-1052,NaAu2
mp-1061023,RbB
mp-1066254,YAu
mp-10678,AuSe
mp-10681,B2Au
mp-1068348,TmAu4
mp-1068446,ScAu4
mp-1068773,LuAu4
mp-1070583,ErAu4
mp-1072087,LaAu2
mp-1072660,VAs2
mp-1072852,CdB2
mp-1076,KB6
mp-10762,Cd3As2
mp-1077399,NaAs2
mp-1078831,KAs
mp-1078935,BC7
mp-1079296,HfAu3
mp-1079348,B3Os2
mp-1079467,YAu3
mp-1079681,ZrAu3
mp-1079811,SmAu
mp-1080111,B3Mo
mp-1080493,Y3Au2
mp-1080569,Tl3Au
mp-1080590,DyAu3
mp-1080709,NdAu
mp-1080756,ErAu3
mp-1080834,Na5As4
mp-1084808,YbAu
mp-1095658,Tb2Au
mp-1095690,Tm2Au
mp-1097,TaB
mp-1101816,Lu2Au
mp-1101868,AuN2
mp-1102098,Nd2Au
mp-1102972,Er2Au
mp-1103186,AsS
mp-1103395,La2Au
mp-1103411,Dy2Au
mp-1103758,CeAu6
mp-1104164,Ba3Au2
mp-1104525,NdAu6
mp-1105134,AsPd3
mp-11106,PaAs2
mp-11240,DyAu
mp-11241,DyAu2
mp-11243,ErAu
mp-11245,HoAu
mp-11247,Li3Au
mp-11248,LiAu3
mp-11249,LuAu
mp-11254,NdAu
mp-11255,PrAu
mp-11256,ScAu
mp-11257,SmAu
mp-11258,TbAu
mp-11260,Ti3Au
mp-11261,YAu
mp-11262,YbAu4
mp-11263,Zr3Au
mp-1147651,SnAu
mp-11814,Rb2Au3
mp-1183146,BAu3
mp-1183149,BAu
mp-1183164,AuC
mp-1183171,AuCl
mp-1183184,As3W
mp-1183186,AsPt3
mp-1183201,Au3Cl
mp-1183348,Au3Br
mp-1183446,Bi3Au
mp-1183462,CaAu3
mp-1183492,Bi3Au
mp-1183504,Bi3Au
mp-1183643,CdAu3
mp-1183659,CdAs3
mp-1184018,CuAu3
mp-1184133,Dy3As
mp-1184175,ErAs3
mp-1184232,Ga3As
mp-1184296,Ga3Au
mp-1184316,Ga3Au
mp-1184351,Ga3B
mp-1184506,In3Au
mp-1184561,Ge3As
mp-1184584,GeAu3
mp-1184646,Ge3Au
mp-1184705,HgAu3
mp-1184710,Ho3As
mp-1184712,GeAu3
mp-1186018,Na3Au
mp-1186030,Na3Au
mp-1186109,NaAu3
mp-1186115,NaAu3
mp-1186163,Np3As
mp-1186260,Nd3Au
mp-1186366,PAu3
mp-1186369,PAu3
mp-1186447,PdAu3
mp-1186500,Pm3Au
mp-1186535,PmAs3
mp-1186538,PmAu3
mp-1186701,Pr3Au
mp-1186779,PtAu
mp-1186917,SbAu3
mp-1186925,SbAu3
mp-1186977,ScAu3
mp-1186998,SiAu3
mp-1187032,Sn3B
mp-1187048,Sn3Au
mp-1187050,Sn3As
mp-1187103,Sr3Au
mp-1187215,TaAs3
mp-1187266,Tb3Au
mp-1187312,TbAs3
mp-1187403,ThAu3
mp-1187508,TlAu3
mp-1187532,Tl3Au
mp-1187741,VAu3
mp-1187908,YbAs3
mp-1188000,Zn3Au
mp-1188500,Nb3Au2
mp-1193415,Cd8Au5
mp-1206376,MnAu3
mp-1206431,In2Au3
mp-1206590,CoAu3
mp-12071,Ti3As
mp-12072,UAu2
mp-1209,RbAu5
mp-1214753,AuS2
mp-1214760,AuI2
mp-1214775,AuBr2
mp-1215274,ZrAu
mp-1215575,ZnAu4
mp-1216391,VAu
mp-1217320,TeAs2
mp-1217358,Te3Au
mp-1217961,TaAu
mp-1219474,Sb3Au
mp-1219709,PtAu
mp-1219920,PdAu
mp-1220,Be5Au
mp-1220390,NbAu4
mp-1220645,Nb3Au
mp-1223816,InAu3
mp-1223936,HgAu3
mp-1223945,HgAu4
mp-1224335,GeAu3
mp-1224390,HfAu9
mp-1225677,CuAu
mp-1225742,CuAu4
mp-1225761,Cu4Au
mp-1226718,CdAu
mp-1226953,Cd3Au
mp-1228838,As2Se
mp-12531,Sn4As3
mp-1264,CdAu3
mp-12664,Be12Au
mp-12699,Ca3Au4
mp-12723,CaAu
mp-12761,BeAu2
mp-12762,PrB6
mp-12788,Nd3Au4
mp-1298,KAu5
mp-1337,MoAs2
mp-1363,Na2Au
mp-1393,Sn4Au
mp-1404,CdAu
mp-1491,VB2
mp-15671,Re3B
mp-15681,CrAs2
mp-15694,PaAs
mp-1606,NbAu2
mp-1629,Th2Au
mp-1662,Te2Au
mp-1668,YbAu2
mp-16732,YAs
mp-1684,ZnAu
mp-1688,ErAs
mp-16886,CdAu
mp-1738,SmAs
mp-1755,ZnAu3
mp-1774,ErB2
mp-1775,SnAu
mp-1786,Ti3Au
mp-1812,Hg5Au6
mp-1831,SrAu5
mp-1900,CaAs3
mp-19871,PbAu2
mp-1994,HfB2
mp-20123,Te2Au
mp-2017,LuAs
mp-20318,Mn2B
mp-20494,LaAs
mp-2059,NbAs
mp-20857,CoB
mp-2103,CuAu3
mp-2123,Nb3Au2
mp-21391,InAs
mp-2182,SnAs
mp-21859,CuAs2
mp-21873,NiAs2
mp-2192,BPt
mp-22079,AsRh
mp-22154,In2Au
mp-2258,Cu3Au
mp-22795,Pb2Au
mp-2302,AsRh2
mp-2347,NiAs
mp-2348,Zr2Au
mp-2365,Pr4As3
mp-2442,ErAu
mp-2466,ErAu2
mp-2473,Re3As7
mp-2501,BMo2
mp-2627,DyAs
mp-2714,Pr2Au
mp-27258,P3Au2
mp-2757,CdAu
mp-2768,Ba2As
mp-27721,AsH3
mp-2776,Ga2Au
mp-2818,YbAu
mp-2847,ErB4
mp-292,V3As
mp-295,HoAs
mp-29646,HfAs2
mp-29665,Sb3Au
mp-30363,BaAu2
mp-30364,BaAu5
mp-30365,BeAu
mp-30366,Ca3Au
mp-30367,Ca5Au2
mp-30368,Ca5Au3
mp-30370,Cd3Au
mp-30371,Cd5Au3
mp-30379,GaAu
mp-30380,GaAu2
mp-30383,Hf2Au
mp-30385,Ho2Au
mp-30386,HoAu3
mp-30387,HoAu4
mp-30401,KAu2
mp-30412,Pb3Au
mp-30415,PrAu2
mp-30417,SmAu3
mp-30418,SnAu5
mp-30421,Sr3Au2
mp-30422,Sr7Au3
mp-30423,VAu2
mp-30523,Ta3As
mp-30571,Tl2Au
mp-31144,Rb3Au7
mp-427,FeAs
mp-434,SrAu2
mp-443,CaAu2
mp-447,TmAu
mp-452,CoAs3
mp-542454,Mo2As3
mp-560,TmAu2
mp-567082,Ti4As3
mp-567525,Te2Au
mp-568823,YbAu3
mp-568920,CaAu5
mp-568944,Yb5Au3
mp-569032,PrAu6
mp-569249,Ta3Au
mp-569683,InAu3
mp-569803,B2W
mp-570113,BiAu2
mp-570119,Yb7Au3
mp-570179,TbAu2
mp-570325,AuSe
mp-570527,Yb5Au4
mp-570775,BaAu
mp-570901,Yb2Au
mp-571264,Ca5Au4
mp-571495,LuB4
mp-571547,Te2Au
mp-603640,GaAs
mp-610,MnAs
mp-684799,K5As4
mp-7022,V5As3
mp-7097,ThAs2
mp-738,Sb2Au
mp-7424,BPd2
mp-7474,Cu2As
mp-755435,Tl2Au
mp-7598,NbAs2
mp-7839,ReB3
mp-8073,AsPd2
mp-8182,As3Rh
mp-8312,Ta5As4
mp-862985,PmAu3
mp-864901,LaAu3
mp-865144,CdAu3
mp-865180,ThAu3
mp-865377,Th3Au4
mp-865572,CeAu3
mp-865858,PaAu3
mp-866076,NdAu3
mp-888,CaAs
mp-889,Cr3B4
mp-971657,Au3N
mp-971701,ZnAs3
mp-971740,Sr3As
mp-972228,Zr3As2
mp-972752,Si3As
mp-972868,SiAu3
mp-972895,ScAu3
mp-973055,Hg3Au
mp-973466,In3As
mp-973498,In3Au
mp-973626,Hg3Au
mp-973834,PdAu3
mp-973839,PdAu3
mp-974365,RuAu3
mp-974584,ReAu3
mp-975073,NdAu3
mp-976113,LaAu3
mp-976365,Nd3Au
mp-976725,Hf3Au
mp-976765,Na3Au
mp-976784,NiAu3
mp-976806,NiAu3
mp-977310,OsAu3
mp-978496,SiB4
mp-978499,SiAs3
mp-978502,SmAs3
mp-978510,Si3As
mp-978881,SnAs3
mp-978969,TlAu3
mp-978989,Tc7B3
mp-979039,Th3Au
mp-979911,Y2Au
mp-979985,YbAu3
mp-980109,SnAu3
