material_id,formula,label,class
mp-867890,AcCd3,-1,unlabeled
mp-1183088,Ac3Yb,-1,unlabeled
mp-1183084,Ac3Tm,-1,unlabeled
mp-1186103,NaAc3,-1,unlabeled
mp-1183056,Ac3Cl,-1,unlabeled
mp-1183239,AcPr3,-1,unlabeled
mp-985302,Ac3Pr,-1,unlabeled
mp-867838,AcAu3,-1,unlabeled
mp-1008617,YbAg2,-1,unlabeled
mp-1183248,AgSn3,-1,unlabeled
mp-567891,NdAg2,-1,unlabeled
mp-11478,GaAg,-1,unlabeled
mp-1223839,InAg3,-1,unlabeled
mp-1183205,Ag3Au,-1,unlabeled
mp-1186017,Na3Ag,-1,unlabeled
mp-976772,NiAg3,-1,unlabeled
mp-611,Ag3Sn,-1,unlabeled
mp-975051,Rb3Ag,-1,unlabeled
mp-1219243,SiAg3,-1,unlabeled
mp-1241,BaAg2,-1,unlabeled
mp-538,CaAg,-1,unlabeled
mp-542298,Ag2F5,-1,unlabeled
mp-1229108,Ag3Ge,-1,unlabeled
mp-8222,AgO,-1,unlabeled
mp-1008601,ZrAg2,-1,unlabeled
mp-1025059,LaAg2,-1,unlabeled
mp-1187267,Tb3Ag,-1,unlabeled
mp-1183229,AgIr,-1,unlabeled
mp-568936,Ag2Se,-1,unlabeled
mp-1226933,Cd3Ag,-1,unlabeled
mp-12612,Ba3Ag2,-1,unlabeled
mp-568953,LuAg4,-1,unlabeled
mp-1017985,TiAg,-1,unlabeled
mp-1183224,AgAu3,-1,unlabeled
mp-1215437,ZnAg,-1,unlabeled
mp-2474,YAg,-1,unlabeled
mp-1214982,AgC6,-1,unlabeled
mp-1183245,AgGe3,-1,unlabeled
mp-1912,ZnAg,-1,unlabeled
mp-1091417,AgN,-1,unlabeled
mp-16240,Ag3Sb,-1,unlabeled
mp-30353,AgPt3,-1,unlabeled
mp-1184226,Ga3Ag,-1,unlabeled
mp-2268,TbAg,-1,unlabeled
mp-1056955,AgN,-1,unlabeled
mp-1224795,GaAg3,-1,unlabeled
mp-30362,Zr3Ag,-1,unlabeled
mp-379,AgSe,-1,unlabeled
mp-1229111,Ag3Bi,-1,unlabeled
mp-30357,Sr3Ag2,-1,unlabeled
mp-1183815,DyAg3,-1,unlabeled
mp-1223787,InAg3,-1,unlabeled
mp-864635,Ag2Cl3,-1,unlabeled
mp-985702,AgPb3,-1,unlabeled
mp-1187102,Sr3Ag,-1,unlabeled
mp-1184493,In3Ag,-1,unlabeled
mp-1185499,LuAg3,-1,unlabeled
mp-12065,Ag3Pt,-1,unlabeled
mp-978254,La3Ag,-1,unlabeled
mp-13156,HfAg,-1,unlabeled
mp-1183272,Ag3Br,-1,unlabeled
mp-38238,Ag2O,-1,unlabeled
mp-976762,NiAg3,-1,unlabeled
mp-1184301,Ga3Ag,-1,unlabeled
mp-985297,Ag3Rh,-1,unlabeled
mp-1072619,PrAg2,-1,unlabeled
mp-1186539,PmAg3,-1,unlabeled
mp-862878,PmAg3,-1,unlabeled
mp-974525,ReAg3,-1,unlabeled
mp-1183244,Ag3F,-1,unlabeled
mp-1605,Ag3O4,-1,unlabeled
mp-1183627,CdAg3,-1,unlabeled
mp-1186033,Na3Ag,-1,unlabeled
mp-2475,SmAg,-1,unlabeled
mp-978790,Sm3Ag,-1,unlabeled
mp-1187946,ZnAg3,-1,unlabeled
mp-864794,ZnAg3,-1,unlabeled
mp-1183156,Ag3Rh,-1,unlabeled
mp-12062,AgB2,-1,unlabeled
mp-1184172,ErAg3,-1,unlabeled
mp-30360,TmAg3,-1,unlabeled
mp-1008912,AgC,-1,unlabeled
mp-685048,Ag2Te,-1,unlabeled
mp-1183265,Ag3Cl,-1,unlabeled
mp-1183511,CaAg3,-1,unlabeled
mp-2284,AgF2,-1,unlabeled
mp-984351,CuAg3,-1,unlabeled
mp-1186034,Na3Ag,-1,unlabeled
mp-1187821,YbAg3,-1,unlabeled
mp-1228927,AlAg3,-1,unlabeled
mp-977126,Li3Ag,-1,unlabeled
mp-1183227,AgAu,-1,unlabeled
mp-30339,ErAg2,-1,unlabeled
mp-1183210,AgHg3,-1,unlabeled
mp-2525,PrAg,-1,unlabeled
mp-985805,AlAg2,-1,unlabeled
mp-1183137,Ag3Au,-1,unlabeled
mp-1186973,ScAg3,-1,unlabeled
mp-972557,SmAg3,-1,unlabeled
mp-1009018,InAg,-1,unlabeled
mp-1183193,Ag3As,-1,unlabeled
mp-1187811,YAg3,-1,unlabeled
mp-2266,YbAg,-1,unlabeled
mp-1183967,GaAg3,-1,unlabeled
mp-1184564,Hf3Ag,-1,unlabeled
mp-2642,CdAg,-1,unlabeled
mp-646824,Ca3Ag8,-1,unlabeled
mp-1101086,AgSe5,-1,unlabeled
mp-309,ThAg2,-1,unlabeled
mp-2778,HoAg,-1,unlabeled
mp-985287,AgAu3,-1,unlabeled
mp-865875,Li3Ag,-1,unlabeled
mp-1095654,SiAg2,-1,unlabeled
mp-1018131,LuAg2,-1,unlabeled
mp-1223819,InAg4,-1,unlabeled
mp-567857,Cd8Ag5,-1,unlabeled
mp-973174,NaAg3,-1,unlabeled
mp-981748,TbAg3,-1,unlabeled
mp-1077322,BaAg2,-1,unlabeled
mp-1229093,Ag2Hg,-1,unlabeled
mp-7711,Ag2O,-1,unlabeled
mp-1187969,Zn3Ag,-1,unlabeled
mp-30351,MgAg3,-1,unlabeled
mp-1187005,SiAg3,-1,unlabeled
mp-2120,HoAg2,-1,unlabeled
mp-2621,ErAg,-1,unlabeled
mp-973965,Nd3Ag,-1,unlabeled
mp-1226728,CdAg,-1,unlabeled
mp-568559,YbAg2,-1,unlabeled
mp-1072737,NdAg2,-1,unlabeled
mp-2233,Th2Ag,-1,unlabeled
mp-30359,TmAg2,-1,unlabeled
mp-13270,CaAg2,-1,unlabeled
mp-976592,K3Ag,-1,unlabeled
mp-978806,Si3Ag,-1,unlabeled
mp-11239,ZrAg,-1,unlabeled
mp-1236,NdAg,-1,unlabeled
mp-999197,AgN,-1,unlabeled
mp-758433,AgHg,-1,unlabeled
mp-1229012,AgPd,-1,unlabeled
mp-30356,SrAg2,-1,unlabeled
mp-758523,AgHg,-1,unlabeled
mp-1184011,Cu3Ag,-1,unlabeled
mp-1184036,GaAg3,-1,unlabeled
mp-571212,Yb5Ag3,-1,unlabeled
mp-30343,InAg3,-1,unlabeled
mp-1066856,AgO,-1,unlabeled
mp-1183178,AgAs,-1,unlabeled
mp-684798,Ag2Te,-1,unlabeled
mp-1183222,AgPd,-1,unlabeled
mp-2796,TmAg,-1,unlabeled
mp-1187490,Tl3Ag,-1,unlabeled
mp-1186499,Pm3Ag,-1,unlabeled
mp-1229032,AgPt4,-1,unlabeled
mp-985283,Ag3Ge,-1,unlabeled
mp-1228947,AlAg4,-1,unlabeled
mp-2167,DyAg,-1,unlabeled
mp-985299,Ag3N,-1,unlabeled
mvc-11196,AgN,-1,unlabeled
mp-30354,ScAg4,-1,unlabeled
mp-1183214,Ag3Au,-1,unlabeled
mp-2273,Ag3Sb,-1,unlabeled
mp-1229015,AgPt,-1,unlabeled
mp-1229105,Ag3Sb,-1,unlabeled
mp-28246,AgTe3,-1,unlabeled
mp-32811,Ag2Te,-1,unlabeled
mp-1215497,Zn3Ag,-1,unlabeled
mp-1184517,In3Ag,-1,unlabeled
mp-1185024,LaAg3,-1,unlabeled
mp-1186896,ReAg3,-1,unlabeled
mp-979115,Ti2Ag,-1,unlabeled
mp-1183225,Ag3Rh,-1,unlabeled
mp-12735,KAg2,-1,unlabeled
mp-985296,Ag3Pd,-1,unlabeled
mp-1184257,Ga3Ag,-1,unlabeled
mp-1187545,Tl3Ag,-1,unlabeled
mp-1814,BaAg5,-1,unlabeled
mp-1391,Ag2F,-1,unlabeled
mp-862716,LiAg3,-1,unlabeled
mp-1183452,Ca3Ag,-1,unlabeled
mp-1183250,Ag3Hg,-1,unlabeled
mp-30355,SrAg,-1,unlabeled
mp-975647,Pr3Ag,-1,unlabeled
mp-1183141,AgC,-1,unlabeled
mp-1592,Ag2Te,-1,unlabeled
mp-1948,LaAg,-1,unlabeled
mp-1184294,FeAg3,-1,unlabeled
mp-1186704,Pr3Ag,-1,unlabeled
mp-1187952,ZnAg3,-1,unlabeled
mp-985282,Ag3Ge,-1,unlabeled
mp-568654,PrAg2,-1,unlabeled
mp-1183202,Ag3As,-1,unlabeled
mp-569486,Yb2Ag7,-1,unlabeled
mp-1009766,AgN,-1,unlabeled
mp-2221,Zr2Ag,-1,unlabeled
mp-2618,DyAg2,-1,unlabeled
mp-1187915,Yb3Ag,-1,unlabeled
mp-978524,Si3Ag,-1,unlabeled
mp-28963,Ag8S,-1,unlabeled
mp-985443,Ag3Hg,-1,unlabeled
mp-1187816,YAg3,-1,unlabeled
mp-1226736,CdAg3,-1,unlabeled
mp-19974,In2Ag,-1,unlabeled
mp-571608,Yb3Ag2,-1,unlabeled
mp-1184993,La3Ag,-1,unlabeled
mp-30352,NaAg2,-1,unlabeled
mp-864952,Mg3Ag,-1,unlabeled
mp-1106092,Sr7Ag3,-1,unlabeled
mp-27819,Ag3O,-1,unlabeled
mp-1009767,AgN,-1,unlabeled
mp-1183647,CdAg3,-1,unlabeled
mp-1186100,NaAg3,-1,unlabeled
mp-1206995,K2Ag,-1,unlabeled
mp-11237,ScAg,-1,unlabeled
mp-1226726,CdAg,-1,unlabeled
mp-867303,AgAu3,-1,unlabeled
mp-1229041,AgTe3,-1,unlabeled
mp-865910,CdAg3,-1,unlabeled
mp-1183206,Ag3Pd,-1,unlabeled
mp-980060,TbAg3,-1,unlabeled
mp-2410,SrAg5,-1,unlabeled
mp-985295,Ag3P,-1,unlabeled
mp-1008653,AgC,-1,unlabeled
mp-1229092,AgAu,-1,unlabeled
mp-862736,SmAg3,-1,unlabeled
mp-30358,TbAg2,-1,unlabeled
mp-1183471,CaAg3,-1,unlabeled
mp-31172,Ca5Ag3,-1,unlabeled
mp-32758,Ag2Se,-1,unlabeled
mp-1183209,AgPt,-1,unlabeled
mp-33154,AgI2,-1,unlabeled
mp-28228,Ag7Te4,-1,unlabeled
mp-999544,YAg2,-1,unlabeled
mp-7715,AgF2,-1,unlabeled
mp-1187974,ZnAg,-1,unlabeled
mp-1188064,YbAg3,-1,unlabeled
mp-1183261,Ag3Ru,-1,unlabeled
mp-12665,Be12Ag,-1,unlabeled
mp-1228901,AlAg,-1,unlabeled
mp-1018128,ScAg2,-1,unlabeled
mp-1226716,CdAg,-1,unlabeled
mp-1183130,Al3Ag,-1,unlabeled
mp-1183249,Ag3Se,-1,unlabeled
mp-1187413,ThAg3,-1,unlabeled
mp-603,Be2Ag,-1,unlabeled
mp-568629,YbAg,-1,unlabeled
mp-984719,BeAg3,-1,unlabeled
mp-11872,Ag2O3,-1,unlabeled
mp-1229107,Ag3Sn,-1,unlabeled
mvc-15664,AgN,-1,unlabeled
mp-7592,AgF,-1,unlabeled
mp-1183254,Ag3S,-1,unlabeled
mp-578,GaAg2,-1,unlabeled
mp-760385,In2Ag,-1,unlabeled
mp-1183256,AgPb3,-1,unlabeled
mp-13155,Hf2Ag,-1,unlabeled
mp-1103785,Pr3Al11,-1,unlabeled
mp-1490,AlAu4,-1,unlabeled
mp-12773,Zr2Al,-1,unlabeled
mp-2289,CeAl4,-1,unlabeled
mp-1842,NbAl3,-1,unlabeled
mp-395,ZrAl3,-1,unlabeled
mp-11209,AlAs,-1,unlabeled
mp-976358,Nd3Al,-1,unlabeled
mp-1070275,Al3Tc2,-1,unlabeled
mp-1103934,PrAl4,-1,unlabeled
mp-1183200,Al3Sn,-1,unlabeled
mp-7189,AlPd,-1,unlabeled
mp-1071777,SrAl2,-1,unlabeled
mp-30337,Al5W,-1,unlabeled
mp-1487,AlNi,-1,unlabeled
mp-983594,Al3Ga,-1,unlabeled
mp-571624,Dy3Al2,-1,unlabeled
mp-979266,Sm3Al,-1,unlabeled
mp-980938,Tb3Al2,-1,unlabeled
mp-1065540,AlC3,-1,unlabeled
mp-1106237,DyAl3,-1,unlabeled
mp-1192984,Al5Re24,-1,unlabeled
mp-11809,TiAl2,-1,unlabeled
mp-1220481,Nb4Al,-1,unlabeled
mp-1009839,TbAl,-1,unlabeled
mp-1079182,AlPt3,-1,unlabeled
mp-570001,Al6Fe,-1,unlabeled
mp-16523,Al3Pd5,-1,unlabeled
mp-1186381,Pa3Al,-1,unlabeled
mp-1228806,AlSb,-1,unlabeled
mp-756,TbAl2,-1,unlabeled
mp-1080667,AlCo3,-1,unlabeled
mp-1018101,AlCo3,-1,unlabeled
mp-1183306,AlRh3,-1,unlabeled
mp-567589,DyAl3,-1,unlabeled
mp-1008555,AlCu3,-1,unlabeled
mp-1080448,AlPt3,-1,unlabeled
mp-803,DyAl2,-1,unlabeled
mp-998,Al2Cu,-1,unlabeled
mp-12802,AlCu3,-1,unlabeled
mp-16488,Al9Co2,-1,unlabeled
mp-21416,PuAl2,-1,unlabeled
mp-632442,Al4C3,-1,unlabeled
mp-1183203,AlGe3,-1,unlabeled
mp-1194073,Ta17Al12,-1,unlabeled
mp-1109,Sr5Al9,-1,unlabeled
mp-2378,Th3Al2,-1,unlabeled
mp-1182870,AlPt3,-1,unlabeled
mp-1228006,AlV2,-1,unlabeled
mp-2554,Al3V,-1,unlabeled
mp-2775,SrAl4,-1,unlabeled
mp-1183195,Al3Ge,-1,unlabeled
mp-1102728,Dy2Al,-1,unlabeled
mp-1102344,Sm2Al,-1,unlabeled
mp-1953,TiAl,-1,unlabeled
mp-1183216,AlCu3,-1,unlabeled
mp-1648,Al12Re,-1,unlabeled
mp-1184060,Dy3Al,-1,unlabeled
mp-1184882,K3Al,-1,unlabeled
mp-1259,YbAl3,-1,unlabeled
mp-1749,CaAl4,-1,unlabeled
mp-259,AlMo3,-1,unlabeled
mp-2614,HfAl3,-1,unlabeled
mp-862980,PmAl3,-1,unlabeled
mp-975056,Rb3Al,-1,unlabeled
mp-11225,TbAl,-1,unlabeled
mp-1645,Al9Rh2,-1,unlabeled
mp-2404,CaAl2,-1,unlabeled
mp-1501,Al3Pt5,-1,unlabeled
mp-1182873,AlP2,-1,unlabeled
mp-1187635,Tm3Al,-1,unlabeled
mp-568417,PrAl,-1,unlabeled
mp-862848,Pa3Al,-1,unlabeled
mp-1183215,AlCd3,-1,unlabeled
mp-1080098,Nd3Al,-1,unlabeled
mp-391,HoAl2,-1,unlabeled
mp-2631,Ba4Al5,-1,unlabeled
mp-569981,DyAl3,-1,unlabeled
mp-16520,NpAl4,-1,unlabeled
mp-10886,Al3Cu2,-1,unlabeled
mp-12793,NdAl,-1,unlabeled
mp-196,Al5Co2,-1,unlabeled
mp-10902,PrAl,-1,unlabeled
mp-16719,Al12Tc,-1,unlabeled
mp-999204,ScAl3,-1,unlabeled
mp-1877,HoAl3,-1,unlabeled
mp-1057,Al3Ni2,-1,unlabeled
mp-178,ThAl,-1,unlabeled
mp-16724,Zr5Al3,-1,unlabeled
mp-813,ScAl2,-1,unlabeled
mp-1008554,Al3V,-1,unlabeled
mp-1009834,Al2Ru,-1,unlabeled
mp-1025223,Hf4Al3,-1,unlabeled
mp-969,YbAl2,-1,unlabeled
mp-1103088,DyAl3,-1,unlabeled
mp-12003,Al9Ir2,-1,unlabeled
mp-11220,Sc2Al,-1,unlabeled
mp-1200220,Al3Ir,-1,unlabeled
mp-16507,LuAl,-1,unlabeled
mp-846,Hf2Al3,-1,unlabeled
mp-1482,Zr2Al3,-1,unlabeled
mp-1186489,Pm3Al,-1,unlabeled
mp-16506,Li3Al2,-1,unlabeled
mp-530274,Al23B50,-1,unlabeled
mp-1102875,Er2Al,-1,unlabeled
mp-2336,PrAl4,-1,unlabeled
mp-1186496,Pm3Al,-1,unlabeled
mp-569775,ZrAl3,-1,unlabeled
mp-669,ThAl2,-1,unlabeled
mp-862844,PaAl3,-1,unlabeled
mp-1182887,AlO3,-1,unlabeled
mp-1193055,Ca13Al14,-1,unlabeled
mp-858,TmAl2,-1,unlabeled
mp-1885,AlIr,-1,unlabeled
mp-1007730,HfAl3,-1,unlabeled
mp-973266,Lu3Al,-1,unlabeled
mp-1079618,TbAl4,-1,unlabeled
mp-1186855,TbAl3,-1,unlabeled
mp-1104100,Nd3Al11,-1,unlabeled
mp-1103391,Tb2Al,-1,unlabeled
mp-31181,Er3Al2,-1,unlabeled
mp-173,MnAl6,-1,unlabeled
mp-672232,AlNi3,-1,unlabeled
mp-867347,Al3Tc,-1,unlabeled
mp-1103225,Pr2Al,-1,unlabeled
mp-1471,Zr3Al,-1,unlabeled
mp-1502,Al2Pt,-1,unlabeled
mp-11232,YAl3,-1,unlabeled
mp-31178,DyAl3,-1,unlabeled
mp-567705,TiAl2,-1,unlabeled
mp-2093,Pr3Al,-1,unlabeled
mp-999206,ScAl,-1,unlabeled
mp-1182885,AlCu4,-1,unlabeled
mp-11227,Al12W,-1,unlabeled
mp-22318,SrAl2,-1,unlabeled
mp-1069983,Al3Ru2,-1,unlabeled
mp-2647,Al2Au,-1,unlabeled
mp-998981,TiAl3,-1,unlabeled
mp-1018179,AlAu2,-1,unlabeled
mp-11843,DyAl,-1,unlabeled
mp-975530,RbAl,-1,unlabeled
mp-1070580,Al3Ru2,-1,unlabeled
mp-261,Ba3Al5,-1,unlabeled
mp-11222,Sm3Al,-1,unlabeled
mp-16513,NdAl3,-1,unlabeled
mp-869,TaAl3,-1,unlabeled
mp-988939,AlAs,-1,unlabeled
mp-1183180,Al3P,-1,unlabeled
mp-16522,Al2Pd,-1,unlabeled
mp-982635,Tm3Al2,-1,unlabeled
mp-569916,Al3Pt2,-1,unlabeled
mp-983585,Al3Zn,-1,unlabeled
mp-2824,AlPd2,-1,unlabeled
mp-10909,AlRe2,-1,unlabeled
mp-985806,Al2Cu,-1,unlabeled
mp-30336,Al4W,-1,unlabeled
mp-2361,Hf5Al3,-1,unlabeled
mp-570400,Ba7Al10,-1,unlabeled
mp-1183278,AlPb3,-1,unlabeled
mp-284,AlCo,-1,unlabeled
mp-249,HfAl,-1,unlabeled
mp-1183412,BeAl3,-1,unlabeled
mp-571053,Al5Mo,-1,unlabeled
mp-975052,Rb3Al,-1,unlabeled
mp-1188739,ErAl,-1,unlabeled
mp-16514,Al3Ni5,-1,unlabeled
mp-973865,PaAl3,-1,unlabeled
mp-2121,ScAl3,-1,unlabeled
mp-1183223,AlAu3,-1,unlabeled
mp-2451,YAl3,-1,unlabeled
mp-2322,YAl2,-1,unlabeled
mp-867232,TbAl3,-1,unlabeled
mp-976150,NaAl3,-1,unlabeled
mp-1102672,Sr2Al,-1,unlabeled
mp-1193531,Ta2Al,-1,unlabeled
mp-1021666,AlSi,-1,unlabeled
mp-1217092,Ti3Al5,-1,unlabeled
mp-2134,ErAl3,-1,unlabeled
mp-988940,AlAs,-1,unlabeled
mp-21109,LaAl4,-1,unlabeled
mp-978951,SmAl,-1,unlabeled
mp-1104047,Al4Tc,-1,unlabeled
mp-12772,Hf2Al,-1,unlabeled
mp-1399,AlAu,-1,unlabeled
mp-16508,Lu3Al2,-1,unlabeled
mp-979040,TmAl3,-1,unlabeled
mp-12684,LaAl,-1,unlabeled
mp-16502,Ho2Al,-1,unlabeled
mp-12794,Al2Cu,-1,unlabeled
mp-1018166,AlTc2,-1,unlabeled
mp-1952,Ba7Al13,-1,unlabeled
mp-10903,AlPt,-1,unlabeled
mp-1206713,Al2Zn,-1,unlabeled
mp-13470,Zr3Al2,-1,unlabeled
mp-1228815,AlRe,-1,unlabeled
mp-2694,LaAl2,-1,unlabeled
mp-16521,Al3Os2,-1,unlabeled
mp-867870,SmAl3,-1,unlabeled
mp-1183131,Al3Sn,-1,unlabeled
mp-985825,Al3Cu,-1,unlabeled
mp-875,AlOs,-1,unlabeled
mp-30338,Y3Al,-1,unlabeled
mp-864995,DyAl3,-1,unlabeled
mp-973149,Mn3Al,-1,unlabeled
mp-1183189,Al3Au,-1,unlabeled
mp-1228854,AlNi,-1,unlabeled
mp-567929,Al13Os4,-1,unlabeled
mp-1183170,AlBi3,-1,unlabeled
mp-1183161,Al3Cu,-1,unlabeled
mp-1188420,HoAl,-1,unlabeled
mp-570651,Al17Mo4,-1,unlabeled
mp-1183208,AlGa3,-1,unlabeled
mp-10901,Al3Pd2,-1,unlabeled
mp-1228956,AlAu4,-1,unlabeled
mp-11228,YAl,-1,unlabeled
mp-1189,PrAl2,-1,unlabeled
mp-865527,YAl3,-1,unlabeled
mp-1190357,SmAl5,-1,unlabeled
mp-369,TbAl3,-1,unlabeled
mp-669546,AlPd,-1,unlabeled
mp-1186098,NaAl3,-1,unlabeled
mp-1079266,Pr3Al,-1,unlabeled
mp-1065309,ZrAl3,-1,unlabeled
mp-10904,AlPt,-1,unlabeled
mp-1188814,Al3Ru,-1,unlabeled
mp-12657,HfAl2,-1,unlabeled
mp-1184638,HoAl3,-1,unlabeled
mp-622209,Al3Ni,-1,unlabeled
mp-1217072,Ti3Al,-1,unlabeled
mp-400,NdAl2,-1,unlabeled
mp-864637,NdAl,-1,unlabeled
mp-1217027,TiAl3,-1,unlabeled
mp-1079984,BaAl,-1,unlabeled
mp-1183127,Al3Pd,-1,unlabeled
mp-2044,Zr5Al3,-1,unlabeled
mp-743752,Al4C3,-1,unlabeled
mp-433,DyAl,-1,unlabeled
mp-11229,YAl,-1,unlabeled
mp-1061123,TiAl,-1,unlabeled
mp-1206714,Al2Sn,-1,unlabeled
mp-1217008,TiAl,-1,unlabeled
mp-1791,Al5Rh2,-1,unlabeled
mp-2358,SmAl2,-1,unlabeled
mp-188,AlPt3,-1,unlabeled
mp-8022,Al2O,-1,unlabeled
mp-1183129,Al3As,-1,unlabeled
mp-550,Al12Mo,-1,unlabeled
mp-607111,AlPt3,-1,unlabeled
mp-944,AlB2,-1,unlabeled
mp-1190736,Ca8Al3,-1,unlabeled
mp-2772,ZrAl2,-1,unlabeled
mp-16720,ThAl2,-1,unlabeled
mp-10908,AlRe,-1,unlabeled
mp-1184171,ErAl3,-1,unlabeled
mp-8023,AlO,-1,unlabeled
mp-10905,Al3Pt2,-1,unlabeled
mp-1025044,AlNi2,-1,unlabeled
mp-2733,Al8Mo3,-1,unlabeled
mp-829,AlPd,-1,unlabeled
mp-16529,Al6Ru,-1,unlabeled
mp-1306,ThAl3,-1,unlabeled
mp-1183138,Al3H,-1,unlabeled
mp-1217081,Ti3Al5,-1,unlabeled
mp-30334,Th2Al7,-1,unlabeled
mp-862656,ErAl3,-1,unlabeled
mp-16721,TmAl,-1,unlabeled
mp-1183279,AlPb3,-1,unlabeled
mp-1903,BaAl4,-1,unlabeled
mp-1104765,LaAl4,-1,unlabeled
mp-570409,PrAl3,-1,unlabeled
mp-1183175,Al3Pt,-1,unlabeled
mp-1823,Ti3Al,-1,unlabeled
mp-551,BaAl2,-1,unlabeled
mp-364,AlRh,-1,unlabeled
mp-1208,ErAl2,-1,unlabeled
mp-12752,Zr4Al3,-1,unlabeled
mp-574122,UAl4,-1,unlabeled
mp-1078399,CsAl,-1,unlabeled
mp-1183143,AlPd3,-1,unlabeled
mp-1188018,Zr3Al,-1,unlabeled
mp-898,HoAl3,-1,unlabeled
mp-331,ScAl,-1,unlabeled
mp-569558,AlAu2,-1,unlabeled
mp-959,LaAl3,-1,unlabeled
mp-1184670,Hf3Al,-1,unlabeled
mp-12524,Al2W,-1,unlabeled
mp-11221,SmAl,-1,unlabeled
mp-1102065,HoAl3,-1,unlabeled
mp-11231,YAl3,-1,unlabeled
mp-1189958,TbAl3,-1,unlabeled
mp-16526,AlPt2,-1,unlabeled
mp-1084828,La3Al,-1,unlabeled
mp-10871,AlAu,-1,unlabeled
mp-1185427,Lu3Al,-1,unlabeled
mp-25470,AlCl3,-1,unlabeled
mp-568683,La16Al13,-1,unlabeled
mp-973539,LuAl3,-1,unlabeled
mp-1063660,CsAl,-1,unlabeled
mp-16723,Y3Al2,-1,unlabeled
mp-11226,Tb3Al,-1,unlabeled
mp-1184840,K3Al,-1,unlabeled
mp-12777,AlCu3,-1,unlabeled
mp-1104395,Sm3Al11,-1,unlabeled
mp-1106135,Ho3Al2,-1,unlabeled
mp-1183140,Al3Cd,-1,unlabeled
mp-768,TmAl3,-1,unlabeled
mp-1101848,Nd2Al,-1,unlabeled
mp-10889,La3Al,-1,unlabeled
mp-2500,AlCu,-1,unlabeled
mp-983584,Al3Tl,-1,unlabeled
mp-1638,SrAl2,-1,unlabeled
mp-568171,Nd2Al,-1,unlabeled
mp-1022721,AlCu,-1,unlabeled
mp-1228120,Al4Si,-1,unlabeled
mp-568607,Al5Mo,-1,unlabeled
mp-1079897,SmAl4,-1,unlabeled
mp-11233,ZrAl,-1,unlabeled
mp-1180309,Mn2Al3,-1,unlabeled
mp-7760,AlSn,-1,unlabeled
mp-11230,Y2Al,-1,unlabeled
mp-12553,PrAl3,-1,unlabeled
mp-30180,Al4Mo,-1,unlabeled
mp-1234,LuAl2,-1,unlabeled
mp-2805,LuAl3,-1,unlabeled
mp-2557,Zr2Al,-1,unlabeled
mp-16505,La3Al11,-1,unlabeled
